-3.e-7	-1.1e-7	4.7e-6	1.9e-6	2.52e-6	1.21e-6	-9.5e-7	-2.79e-6	1.29e-6	-1.4e-6	0.
-5.1e-7	2.1e-7	4.43e-6	3.29e-6	1.92e-6	1.8e-7	-6.9e-7	-2.88e-6	1.38e-6	-1.67e-6	0.
-3.7e-7	-5.9e-7	3.64e-6	1.96e-6	2.07e-6	1.06e-6	-2.1e-7	-1.78e-6	1.61e-6	-1.36e-6	0.
-6.3e-7	5.6e-7	4.5e-6	2.24e-6	2.06e-6	1.41e-6	-2.5e-7	-2.29e-6	1.43e-6	-1.79e-6	0.
-5.8e-7	1.e-6	4.57e-6	2.7e-6	1.73e-6	1.57e-6	-2.2e-7	-3.29e-6	1.62e-6	-2.06e-6	0.
-9.5e-7	-2.2e-7	4.17e-6	1.63e-6	2.27e-6	1.25e-6	1.3e-7	-2.86e-6	1.58e-6	-1.18e-6	0.
3.1e-7	9.e-8	3.85e-6	2.35e-6	1.63e-6	1.16e-6	-8.1e-7	-2.87e-6	1.23e-6	-1.1e-6	0.
-1.e-8	-4.3e-7	4.74e-6	2.41e-6	2.42e-6	1.3e-6	-2.1e-7	-2.62e-6	1.42e-6	-1.47e-6	0.
-9.9e-7	-1.2e-7	3.9e-6	1.97e-6	2.25e-6	9.4e-7	-3.6e-7	-2.65e-6	1.15e-6	-1.6e-6	0.
-1.29e-6	4.5e-7	4.65e-6	2.32e-6	2.23e-6	1.24e-6	-5.e-7	-2.27e-6	1.6e-6	-1.35e-6	0.
-5.3e-7	-7.3e-7	5.29e-6	1.22e-6	2.52e-6	1.49e-6	-5.2e-7	-2.42e-6	1.33e-6	-1.4e-6	0.
-5.e-7	5.e-7	5.09e-6	1.82e-6	1.66e-6	1.36e-6	-9.3e-7	-2.26e-6	1.57e-6	-1.92e-6	0.
-1.15e-6	-9.e-8	4.36e-6	1.81e-6	1.8e-6	1.24e-6	-3.4e-7	-2.4e-6	1.71e-6	-1.93e-6	0.
-7.5e-7	-3.5e-7	4.73e-6	1.62e-6	2.74e-6	1.61e-6	-3.6e-7	-2.8e-6	1.61e-6	-1.47e-6	0.
-1.12e-6	-3.9e-7	4.71e-6	1.69e-6	1.82e-6	1.54e-6	-5.4e-7	-2.73e-6	1.77e-6	-1.49e-6	0.
-1.4e-6	-7.9e-7	3.86e-6	1.51e-6	1.38e-6	8.1e-7	1.8e-7	-2.37e-6	1.35e-6	-1.93e-6	0.
-1.21e-6	-4.e-8	4.27e-6	1.78e-6	2.48e-6	1.54e-6	-6.1e-7	-2.24e-6	1.34e-6	-1.e-6	0.
-6.7e-7	4.3e-7	5.29e-6	2.26e-6	2.27e-6	1.73e-6	-2.8e-7	-2.69e-6	1.75e-6	-1.48e-6	0.
3.e-8	4.6e-7	5.98e-6	2.27e-6	2.13e-6	1.49e-6	-2.7e-7	-2.48e-6	1.58e-6	-1.48e-6	0.
-5.6e-7	3.e-7	5.24e-6	2.74e-6	1.57e-6	1.07e-6	-7.e-8	-2.13e-6	1.5e-6	-1.31e-6	0.
-1.01e-6	1.4e-7	4.92e-6	2.23e-6	2.42e-6	1.23e-6	-4.6e-7	-2.27e-6	1.69e-6	-1.69e-6	0.
-3.6e-7	3.3e-7	3.86e-6	2.13e-6	1.88e-6	1.59e-6	-3.7e-7	-2.52e-6	1.23e-6	-1.41e-6	0.
-9.8e-7	2.8e-7	3.83e-6	2.38e-6	2.06e-6	1.38e-6	2.9e-7	-2.63e-6	1.6e-6	-1.73e-6	0.
-9.1e-7	-5.e-7	4.37e-6	1.54e-6	2.03e-6	1.74e-6	-1.23e-6	-2.04e-6	1.87e-6	-1.72e-6	0.
-9.2e-7	2.3e-7	5.21e-6	2.04e-6	2.01e-6	1.32e-6	4.e-7	-2.67e-6	1.06e-6	-1.73e-6	0.
-1.01e-6	-3.6e-7	4.85e-6	1.52e-6	1.98e-6	1.27e-6	-1.22e-6	-2.89e-6	1.47e-6	-1.7e-6	0.
-1.6e-7	5.5e-7	5.11e-6	3.18e-6	1.81e-6	1.82e-6	-7.e-7	-2.18e-6	1.45e-6	-1.42e-6	0.
-1.4e-7	1.e-7	5.21e-6	3.15e-6	2.22e-6	1.32e-6	-3.6e-7	-2.62e-6	1.51e-6	-1.51e-6	0.
-1.04e-6	-3.e-8	4.7e-6	2.49e-6	2.38e-6	1.55e-6	-7.8e-7	-2.22e-6	1.79e-6	-1.62e-6	0.
-1.01e-6	-5.e-7	4.93e-6	1.71e-6	2.2e-6	1.76e-6	-1.4e-7	-2.73e-6	1.46e-6	-1.39e-6	0.
-3.9e-7	-2.2e-7	4.92e-6	2.37e-6	2.12e-6	1.37e-6	-1.3e-7	-2.3e-6	1.33e-6	-1.79e-6	0.
-6.e-7	2.1e-7	4.86e-6	2.48e-6	2.33e-6	1.31e-6	-3.6e-7	-2.1e-6	1.49e-6	-1.47e-6	0.
-1.1e-6	1.5e-7	5.35e-6	1.55e-6	1.75e-6	1.08e-6	-9.6e-7	-2.89e-6	1.56e-6	-1.65e-6	0.
-2.9e-7	-5.8e-7	4.64e-6	1.18e-6	1.89e-6	1.58e-6	-5.8e-7	-1.93e-6	1.56e-6	-1.31e-6	0.
-7.e-7	4.8e-7	4.03e-6	2.29e-6	2.57e-6	1.32e-6	-1.5e-7	-2.54e-6	1.39e-6	-1.07e-6	0.
-5.4e-7	4.e-7	4.68e-6	2.15e-6	1.49e-6	1.07e-6	-3.4e-7	-2.26e-6	1.35e-6	-1.61e-6	0.
-6.9e-7	-1.9e-7	5.47e-6	1.62e-6	1.88e-6	1.36e-6	1.1e-7	-2.61e-6	1.43e-6	-1.37e-6	0.
